DID,Title,Disruption_Category,Disruption_Sub_Category,Start,End,Geographic_Scope,Industries Affected,Industries Affected.1,Industries Affected.2,Impact_Loss_$B,Disruption_Duration_Months,Disruption_Cost_Per_Month,Severity,Cascading_Impact 1,Cascading_Impact 2,Cascading_Impact 3,Primary_Supply_Chain_Node,Disrupted_KPI 1,Disrupted_KPI 2,Disrupted_KPI 3,Response_Adaptation_Strategy,Intrinsic_Challenge 1,Intrinsic_Challenge 2,Intrinsic_Challenge 3,Intrinsic_Challenge 4,Resilience_Dimension,Tech_Enabler,Tech_Enabler.1,Blockchain_Solution,AI_Solution,Cascade_Pattern,Early_Warning_Signals,Resilience_Strategy (Agentic AI + Blockchain),Primary_Intrinsic_Challenge,Primary_KPIs_Affected,Reference
27,Six-Day War Oil Disruption,Geopolitical,Cold War,1967,1967,Middle East,Energy,Transportation,,320,1,320,1,Price spikes,,,Energy; Transportation,Fuel costs,Availability,,Reserves; diversification,Coordination & Collaboration,Economic Impact Optimization,,,Energy Resilience,Reserves optimization models,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",Oil reports
28,1973 Oil Crisis,Economic,Crisis,1973,1974,Global,Energy,Transportation,,4200,12,350,5,Price shocks,,,Energy; Trade,Fuel prices,Throughput,,Rationing; efficiency measures,Risk Assessment & Prediction,Continuous Monitoring,,,Energy Resilience,Energy IoT monitoring,IoT,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",OPEC archives
29,1979 Iran Oil Crisis,Economic,Crisis,1979,1981,Global,Energy,Transportation,,3800,24,158.3333333,5,Market instability,,,Energy; Trade,Price volatility,Supply security,,Reserves; hedging,Economic Impact Optimization,Trust & Data Integrity,,,Energy Resilience,Financial optimization models,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Economic Impact Optimization,"['Cash Conversion Cycle', 'Cost to Serve', 'Inventory Holding Cost']",Energy reports
30,Soviet-Afghanistan War Impact,Geopolitical,Cold War,1979,1989,Asia; Middle East,Energy,Trade,,290,96,3.020833333,2,Pipeline disruptions,,,Energy; Military,Supply continuity,Security,,Pipeline security; alt sourcing,Security & Resilience,Coordination & Collaboration,,,Security Resilience,Multi-agent security coordination,AI/Agentic AI,1,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Security & Resilience,"['OTIF', 'Forecast Error (MAPE)']",UN archives
31,Chernobyl Nuclear Disaster,Environmental,Disaster,1986,1986,Europe,Energy,Manufacturing,,1100,1,1100,3,Contamination,shutdowns,,Energy; Agriculture,Uptime,Supply availability,,Containment; alt suppliers,Safety & Compliance,Real-Time Monitoring & Response,,,Safety Resilience,Radiation sensor networks,Blockchain,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Safety & Compliance,"['OTIF', 'Forecast Error (MAPE)']",Nuclear agency
32,Gulf War,Geopolitical,War,1991,1991,Middle East,Energy,Transportation,,980,3,326.6666667,3,Pipeline disruptions,,,Energy; Military,Fuel supply,Security delays,,Military escorts; pipeline protection,Security & Resilience,Supply Chain Transparency,,,Security Resilience,Blockchain pipeline logs,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Security & Resilience,"['OTIF', 'Forecast Error (MAPE)']",Military archives
33,French Rail Strikes,Social,Labor Disruption,1995,1995,France,Transportation,Manufacturing,,150,2,75,2,Network paralysis,,,Rail; Manufacturing,Transit time,Throughput,,Negotiations; contingency services,Coordination & Collaboration,Continuous Learning & Adaptation,,,Network Resilience,Real-time rail monitoring,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",Government reports
34,Asian Financial Crisis,Economic,Financial Crisis,1997,1998,Asia,Financial,Manufacturing,,780,12,65,3,Currency devaluation,,,Finance; Manufacturing,Exchange rates,Import costs,,Support packages; trade finance,Financial Impact Optimization,Trust & Data Integrity,,,Financial Resilience,Real-time risk analytics,AI/Agentic AI,0,1,Financial Contagion → Supplier liquidity stress → Payment delays → Capacity exits → Re-sourcing cascade,Forecast error spikes | Lead-time variance increase | Service-level dips,"FX risk oracles; smart-hedging triggers tied to exposure thresholds | Dynamic payment terms & supply-chain finance via programmable invoices | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Financial Impact Optimization,"['OTIF', 'Forecast Error (MAPE)']",IMF reports
35,Y2K Supply Chain Concerns,Technology,Cybersecurity,1999,2000,Global,IT,Manufacturing,,150,12,12.5,1,System updates,,,IT; Manufacturing,System uptime,Maintenance cost,,Software updates; audits,Cybersecurity & Resilience,Continuous Learning & Adaptation,,,Cyber Resilience,Automated patch management,AI/Agentic AI,0,1,Cyber–Physical Outage → Multi-site IT/OT downtime → Order processing failure → Logistics hold → Revenue loss,Abnormal network telemetry | Endpoint EDR alerts | Unexpected PLC state changes,"Zero-trust architecture; signed telemetry & software bill-of-materials (SBOM) on-chain | Autonomous containment agents (network segmentation, failover orchestration) | Smart contracts to freeze risky counterparties and release after verification | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Cybersecurity & Resilience,"['OTIF', 'Forecast Error (MAPE)']",Tech reports
36,9/11 Supply Chain Security Changes,Security,Security Threat,2001,2001,Global,Aviation,Security,,2100,1,2100,5,Security delays,,,Aviation; Ports,Security costs,Transit time,,Enhanced screening; security protocols,Security & Resilience,Stakeholder Communication,,,Security Resilience,AI threat detection,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Security & Resilience,"['OTIF', 'Forecast Error (MAPE)']",Government reports
37,SARS Outbreak,Pandemic,Health Crisis,2003,2004,Asia; Global,Healthcare,Trade,,540,12,45,3,Travel restrictions,,,All Nodes,Travel volume,Inventory turnover,,Quarantine; remote ops,Real-Time Monitoring & Response,Supply Chain Transparency,,,Health Resilience,LSTM outbreak forecasting,AI/Agentic AI,0,1,Labor & Demand Shock (bi-directional) → Factory/port constraints → Forecast error surge → System-wide oscillations,Absenteeism rise | Border restriction alerts | Demand volatility index surges,"Federated learning demand forecasting across partners (privacy-preserving) | Labor capacity agents for shift re-optimization & automation substitution | Smart contracts for adaptive MOQ/lead-time terms under emergency clauses | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",WHO reports
38,Indian Ocean Tsunami,Natural Disaster,Disaster,2004,2004,Asia-Pacific,Maritime,Trade,,290,1,290,2,Port damage,,,Ports; Maritime,Throughput,Transit time,,Rapid repairs; alt routing,Infrastructure Resilience,Risk Assessment & Prediction,,,Disaster Resilience,Digital twin port ops,Digital Twin,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Infrastructure Resilience,"['Capacity Utilization', 'Equipment Uptime', 'MTTR']",UN reports
39,Hurricane Katrina,Natural Disaster,Disaster,2005,2005,US Gulf Coast,Transportation,Energy,,201.3,1,201.3,5,Port closures,refinery shutdowns,,Energy; Maritime,Throughput,Capacity utilization,,Emergency response; rerouting,Infrastructure Resilience,Real-Time Monitoring & Response,,,Emergency Response,IoT grid monitoring,IoT,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Infrastructure Resilience,"['Capacity Utilization', 'Equipment Uptime', 'MTTR']",NCEI/NOAA
40,2008 Global Financial Crisis,Economic,Financial Crisis,2008,2009,Global,Financial,Manufacturing,,15600,12,1300,5,Credit freeze,trade collapse,,Finance; Trade,Credit availability,Import/export volumes,,Bailouts; liquidity injections,Trust & Data Integrity,Regulatory Compliance Automation,,,Financial Resilience,Blockchain trade finance,Blockchain,1,0,Financial Contagion → Supplier liquidity stress → Payment delays → Capacity exits → Re-sourcing cascade,Forecast error spikes | Lead-time variance increase | Service-level dips,"FX risk oracles; smart-hedging triggers tied to exposure thresholds | Dynamic payment terms & supply-chain finance via programmable invoices | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Trust & Data Integrity,"['Audit Exceptions', 'Dispute Rate', 'Payment Delay']",Financial reports
41,European Debt Crisis,Economic,Financial Crisis,2010,2012,Europe,Financial,Trade,,820,24,34.16666667,3,Credit constraints,demand slump,,Financial; Trade,Credit availability,Fill rate,,ECB measures; fiscal stimulus,Trust & Data Integrity,Real-Time Monitoring & Response,,,Financial Resilience,Macro-financial risk models,AI/Agentic AI,0,1,Financial Contagion → Supplier liquidity stress → Payment delays → Capacity exits → Re-sourcing cascade,Forecast error spikes | Lead-time variance increase | Service-level dips,"FX risk oracles; smart-hedging triggers tied to exposure thresholds | Dynamic payment terms & supply-chain finance via programmable invoices | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Trust & Data Integrity,"['Audit Exceptions', 'Dispute Rate', 'Payment Delay']",IMF/ECB
42,Icelandic Volcanic Ash Cloud,Natural Disaster,Disaster,2010,2010,Europe,Aviation,Logistics,,1700,1,1700,2,Flight cancellations,,,Aviation; Logistics,Cancellations,Throughput,,Flight rerouting; alternative transport,Real-Time Monitoring & Response,Coordination & Collaboration,,,Aviation Resilience,Ash detection sensor networks,IoT,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",IATA; AlixPartners
43,Deepwater Horizon Oil Spill,Environmental,Oil Spill,2010,2010,US Gulf Coast,Energy,Maritime,Fishing,65,3,21.66666667,3,Environmental damage,fishing industry halt,,Energy; Maritime,Environmental safety,Fishing yields,,Cleanup operations; alternative sourcing,Environmental Resilience,Real-Time Monitoring & Response,,,Environmental Resilience,Environmental monitoring systems,IoT,1,1,Energy Supply Shock → Production derate → Cold-chain risk → Logistics rescheduling → Contract penalties,Cold-chain temp excursions | Fuel price shocks | Grid outage alerts,"Energy price/availability oracles; agents shift production across sites | Demand response contracts & microgrid integration with automated settlement | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Environmental Resilience,"['OTIF', 'Forecast Error (MAPE)']",EPA reports
44,Fukushima Nuclear Disaster,Environmental,Nuclear Disaster,2011,2011,Japan; Global,Energy,Manufacturing,Agriculture,620,6,103.3333333,4,Energy shortage,food contamination,manufacturing halt,Energy; Manufacturing,Energy supply,Food safety,Production capacity,Alternative energy; safety protocols; supply rerouting,Safety & Compliance,Real-Time Monitoring & Response,,,Safety Resilience,Radiation monitoring networks,IoT,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Safety & Compliance,"['OTIF', 'Forecast Error (MAPE)']",IAEA reports
45,2011 Tohoku Earthquake & Tsunami,Natural Disaster,Disaster,2011,2011,Japan; Global,Electronics,Automotive,,1850,3,616.6666667,3,Shutdowns,logistics damage,,Manufacturing; Transport,Lead time,Order fulfillment,,Alternate sourcing; regional planning,Supply Chain Transparency,Infrastructure Resilience,,,Operational Continuity,Blockchain supplier networks,Blockchain,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Supply Chain Transparency,"['Inspection Failures', 'Recall Response Time', 'Traceability Score']",Nature; JSCM
46,2011 Thailand Floods,Natural Disaster,Disaster,2011,2011,Southeast Asia,Electronics,Automotive,,450,6,75,2,Component shortages,cost spikes,,Component Supply,Lead time,Cost per unit,,Risk pooling; dual sourcing,Coordination & Collaboration,Risk Assessment & Prediction,,,Flood Resilience,AI flood forecasting,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",World Bank rapid assessment
47,Hurricane Sandy,Natural Disaster,Disaster,2012,2012,US East Coast,Transportation,Utilities,,88.5,1,88.5,5,Power outages,logistics delays,,Energy; Transportation,Uptime,Delivery reliability,,Utility backups; rerouting,Infrastructure Resilience,Real-Time Monitoring & Response,,,Emergency Response,IoT grid monitoring,IoT,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Infrastructure Resilience,"['Capacity Utilization', 'Equipment Uptime', 'MTTR']",NCEI
48,US West Coast Port Labor Slowdown,Social,Labor Disruption,2015,2015,US West Coast,Transportation,Trade,,140,5,28,3,Port congestion,,,Ports; Warehousing,Transit time,Inventory turnover,,Alternate routing; weekend ops,Coordination & Collaboration,Risk Assessment & Prediction,,,Operational Resilience,AI port scheduling,AI/Agentic AI,1,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",Industry studies
49,Cyberattacks on Supply Chains,Technology,Digital Threat,2017,2024,Global,Technology,All Industries,,350,84,4.166666667,3,Downtime,data theft,,IT; Operational Tech,Uptime,Data integrity,Cost,Zero trust; anomaly detection,Trust & Data Integrity,Cybersecurity Resilience,,,Cyber Resilience,AI-driven anomaly detection,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Trust & Data Integrity,"['Audit Exceptions', 'Dispute Rate', 'Payment Delay']",Accenture; ENISA
50,NotPetya Cyberattack,Technology,Ransomware Attack,2017,2017,Global,Technology,Logistics,Manufacturing,10,1,10,3,System shutdowns,data loss,,IT; Operational Tech,System uptime,Data integrity,,System recovery; cybersecurity enhancement,Cybersecurity & Resilience,Trust & Data Integrity,,,Cyber Resilience,AI-driven threat detection,AI/Agentic AI,0,1,Cyber–Physical Outage → Multi-site IT/OT downtime → Order processing failure → Logistics hold → Revenue loss,AIS route deviations | Abnormal network telemetry | Customs dwell-time spikes,"Zero-trust architecture; signed telemetry & software bill-of-materials (SBOM) on-chain | Autonomous containment agents (network segmentation, failover orchestration) | Smart contracts to freeze risky counterparties and release after verification | Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Cybersecurity & Resilience,"['OTIF', 'Forecast Error (MAPE)']",Cybersecurity reports
51,Bali Mount Agung Ash Cloud,Natural Disaster,Disaster,2018,2018,Indonesia; Global,Tourism,Logistics,,20,1,20,1,Flight cancellations,,,Aviation; Logistics,Cancellations,Passenger volume,,Flight rerouting; marine transport,Real-Time Monitoring & Response,Coordination & Collaboration,,,Aviation Resilience,Ash detection sensors,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",IATA
52,Geopolitical Tensions/Trade Wars,Geopolitical,Trade Conflict,2018,2024,US-China; Global,Manufacturing,Trade,,2100,72,29.16666667,5,Tariffs,supply shifts,,Procurement; Sourcing,Procurement cost,Cycle time,,Friend-shoring; compliance tech,Risk Assessment & Prediction,Supply Chain Transparency,,,Strategic Flexibility,Blockchain compliance,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,Forecast error spikes | Lead-time variance increase | Service-level dips,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",IMF; Brookings
53,COVID-19 Pandemic,Pandemic,Health Crisis,2020,2022,Global,All Industries,,,4000,36,111.1111111,5,Demand shock,labor shortages,,All Nodes,OTIF,Inventory turnover,,Digital transformation; stockpiling,Real-Time Monitoring & Response,Continuous Learning & Adaptation,,,System Agility,Multi-agent response models,AI/Agentic AI,1,1,Labor & Demand Shock (bi-directional) → Factory/port constraints → Forecast error surge → System-wide oscillations,Absenteeism rise | Border restriction alerts | Demand volatility index surges,"Federated learning demand forecasting across partners (privacy-preserving) | Labor capacity agents for shift re-optimization & automation substitution | Smart contracts for adaptive MOQ/lead-time terms under emergency clauses | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",IMF; World Bank
54,Global Semiconductor Shortage,Technology,Supply Constraint,2020,2021,Global; East Asia,Electronics,Automotive,,210,12,17.5,3,Production backlogs,automotive slowdown,,Manufacturing; Assembly,Lead time,Fill rate,Backlogs,Supplier diversification; fab expansions,Complexity & Interdependence,Capacity Resilience,,,Production Resilience,Digital twin planning,Digital Twin,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Complexity & Interdependence,"['Bullwhip Index', 'Supply Mix Flexibility', 'Tier Visibility %']",AlixPartners; MotorTrend
